threshold,window_s,budget_weight,fpr,fnr,f1
11,120,0.0,0.0,1.0,0
11,120,0.2,0.0,1.0,0
11,120,0.5,0.0,1.0,0
11,120,0.8,0.0,1.0,0
12,10,0.0,0.0,1.0,0
12,10,0.2,0.0,1.0,0
12,10,0.5,0.0,1.0,0
12,10,0.8,0.0,1.0,0
12,20,0.0,0.0,1.0,0
12,20,0.2,0.0,1.0,0
12,20,0.5,0.0,1.0,0
12,20,0.8,0.0,1.0,0
12,30,0.0,0.0,1.0,0
12,30,0.2,0.0,1.0,0
12,30,0.5,0.0,1.0,0
12,30,0.8,0.0,1.0,0
12,60,0.0,0.0,1.0,0
12,60,0.2,0.0,1.0,0
12,60,0.5,0.0,1.0,0
12,60,0.8,0.0,1.0,0
12,120,0.0,0.0,1.0,0
12,120,0.2,0.0,1.0,0
12,120,0.5,0.0,1.0,0
12,120,0.8,0.0,1.0,0
13,10,0.0,0.0,1.0,0
13,10,0.2,0.0,1.0,0
13,10,0.5,0.0,1.0,0
13,10,0.8,0.0,1.0,0
13,20,0.0,0.0,1.0,0
13,20,0.2,0.0,1.0,0
13,20,0.5,0.0,1.0,0
13,20,0.8,0.0,1.0,0
13,30,0.0,0.0,1.0,0
13,30,0.2,0.0,1.0,0
13,30,0.5,0.0,1.0,0
13,30,0.8,0.0,1.0,0
13,60,0.0,0.0,1.0,0
13,60,0.2,0.0,1.0,0
13,60,0.5,0.0,1.0,0
13,60,0.8,0.0,1.0,0
13,120,0.0,0.0,1.0,0
13,120,0.2,0.0,1.0,0
13,120,0.5,0.0,1.0,0
13,120,0.8,0.0,1.0,0
14,10,0.0,0.0,1.0,0
14,10,0.2,0.0,1.0,0
14,10,0.5,0.0,1.0,0
14,10,0.8,0.0,1.0,0
14,20,0.0,0.0,1.0,0
